               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13312,             0.12028,            0.052693,                   0,                   0,                   0,                   0,             0.13637,            0.097023,            0.056763,              0.0991,              0.0001,              0.0001
                   1,             0.13154,             0.11324,            0.052658,                   0,                   0,                   0,                   0,             0.13616,            0.098007,            0.056305,            0.097298,           0.0002976,           0.0002976
                   2,             0.13293,             0.12339,            0.052879,                   0,                   0,                   0,                   0,             0.13574,             0.09948,            0.055481,            0.095492,            0.000492,            0.000492
                   3,             0.13119,             0.12515,            0.051705,                   0,                   0,                   0,                   0,             0.13508,             0.10091,            0.054413,            0.093683,           0.0006832,           0.0006832
                   4,             0.12905,             0.11402,            0.051161,          0.00047733,              0.0025,          0.00024208,          4.8415e-05,             0.13415,               0.103,            0.052986,            0.091871,           0.0008712,           0.0008712
                   5,             0.12903,             0.12315,            0.050112,          0.00042827,              0.0025,          0.00021765,          4.3529e-05,             0.13274,             0.10493,            0.051353,            0.090056,            0.001056,            0.001056
                   6,              0.1291,             0.13257,            0.048582,          0.00035461,              0.0025,          0.00018187,          3.6374e-05,             0.13124,              0.1071,            0.049599,            0.088238,           0.0012376,           0.0012376
                   7,             0.12765,             0.13165,            0.047683,          0.00029369,              0.0025,          0.00015162,          4.5487e-05,             0.12968,             0.10928,            0.047653,            0.086416,            0.001416,            0.001416
                   8,             0.12337,             0.12406,            0.047272,          0.00027064,              0.0025,          0.00014035,          4.2106e-05,             0.12894,             0.11076,            0.046654,            0.084591,           0.0015912,           0.0015912
                   9,             0.12335,             0.14293,            0.046576,          0.00047619,               0.005,          0.00024691,           7.366e-05,             0.12805,             0.11275,            0.045525,            0.082763,           0.0017632,           0.0017632
                  10,             0.12431,             0.12762,            0.044924,          0.00041537,               0.005,          0.00021743,          5.4138e-05,             0.12703,             0.11504,            0.044327,            0.080932,            0.001932,            0.001932
                  11,             0.12363,             0.13062,            0.044044,          0.00089445,              0.0125,          0.00047646,          0.00010435,             0.12538,             0.11736,            0.042923,            0.079098,           0.0020976,           0.0020976
                  12,             0.12315,             0.13726,            0.043346,          0.00094563,               0.015,          0.00063753,          0.00013962,             0.12383,             0.11992,            0.041576,             0.07726,             0.00226,             0.00226
